SKU,ชื่อสินค้า,หมวดหมู่,ราคาทุน,ราคาขาย,ราคาส่ง,จำนวน,หน่วย,รุ่นรถที่ใช้ได้,เลขที่อ้างอิง
ENG-0010,แหวนลูกสูบ STD,ระบบเครื่องยนต์,350,550,480,20,ชิ้น,Toyota Hilux / Isuzu D-Max,FILE-IMPORT
ENG-0011,สายพานไทม์มิ่ง,ระบบเครื่องยนต์,480,750,650,15,ชิ้น,Honda Civic / Toyota Altis,FILE-IMPORT
ENG-0012,ปะเก็นฝาสูบ,ระบบเครื่องยนต์,620,980,850,10,ชิ้น,Toyota Hilux,FILE-IMPORT
ENG-0013,ลูกสูบ STD,ระบบเครื่องยนต์,1200,1900,1650,8,ชิ้น,Isuzu D-Max / MU-7,FILE-IMPORT
ENG-0014,ไส้กรองน้ำมันเครื่อง,ระบบเครื่องยนต์,45,90,75,50,ชิ้น,Toyota / Honda / Isuzu,FILE-IMPORT
ELE-0011,หัวเทียน NGK,ระบบไฟฟ้า,85,150,130,40,ชิ้น,Toyota Vios / Honda City,FILE-IMPORT
ELE-0012,แบตเตอรี่ 55Ah,ระบบไฟฟ้า,1800,2800,2500,10,ลูก,รถยนต์ทั่วไป,FILE-IMPORT
ELE-0013,ไดชาร์จ,ระบบไฟฟ้า,2500,3900,3500,5,ชิ้น,Toyota Hilux Vigo,FILE-IMPORT
ELE-0014,มอเตอร์สตาร์ท,ระบบไฟฟ้า,1900,3000,2700,5,ชิ้น,Isuzu D-Max,FILE-IMPORT
ELE-0015,ไฟหน้า LED,ระบบไฟฟ้า,950,1500,1300,12,ชิ้น,Toyota Fortuner 2015-2020,FILE-IMPORT
FLD-0011,น้ำมันเครื่อง 10W-30 4L,น้ำมันเคมีภัณฑ์,380,580,520,30,ขวด,รถยนต์ทั่วไป,FILE-IMPORT
FLD-0012,น้ำมันเกียร์ออโต้,น้ำมันเคมีภัณฑ์,320,520,460,20,ขวด,รถยนต์ออโต้ทั่วไป,FILE-IMPORT
FLD-0013,น้ำยาหม้อน้ำ 1L,น้ำมันเคมีภัณฑ์,120,200,175,35,ขวด,รถยนต์ทั่วไป,FILE-IMPORT
FLD-0014,น้ำมันเบรก DOT3,น้ำมันเคมีภัณฑ์,95,160,140,25,ขวด,รถยนต์ทั่วไป,FILE-IMPORT
SUS-0011,โช้คอัพหน้า,ช่วงล่าง,1200,1900,1700,8,ชิ้น,Toyota Hilux Vigo,FILE-IMPORT
SUS-0012,ลูกหมากปีกนกบน,ช่วงล่าง,380,620,550,15,ชิ้น,Isuzu D-Max / MU-7,FILE-IMPORT
SUS-0013,ลูกหมากคันชัก,ช่วงล่าง,290,480,420,15,ชิ้น,Toyota Fortuner,FILE-IMPORT
SUS-0014,ยางกันโคลงหน้า,ช่วงล่าง,180,300,260,20,ชิ้น,รถยนต์ทั่วไป,FILE-IMPORT
BDY-0011,กระจกมองข้างซ้าย,ตัวถัง,850,1350,1200,6,ชิ้น,Toyota Hilux Revo,FILE-IMPORT
BDY-0012,กันชนหน้า,ตัวถัง,2800,4500,4000,4,ชิ้น,Isuzu D-Max 2020,FILE-IMPORT
BDY-0013,ฝากระโปรงหน้า,ตัวถัง,3500,5500,5000,3,ชิ้น,Toyota Fortuner 2016,FILE-IMPORT
INK-0011,ท่อไอเสียกลาง,ท่อไอเสีย,1500,2400,2100,5,ชิ้น,Toyota Hilux Vigo,FILE-IMPORT
INK-0012,หม้อพักท้าย,ท่อไอเสีย,1200,1900,1700,5,ชิ้น,Isuzu D-Max,FILE-IMPORT
CLY-0011,หม้อน้ำ,ระบบทำความเย็น,2200,3500,3100,5,ชิ้น,Toyota Hilux Vigo 2.5,FILE-IMPORT
CLY-0012,พัดลมหม้อน้ำ,ระบบทำความเย็น,1800,2900,2600,6,ชิ้น,Honda Accord / Civic,FILE-IMPORT
CLY-0013,ปั๊มน้ำ,ระบบทำความเย็น,980,1600,1400,8,ชิ้น,Toyota / Isuzu,FILE-IMPORT
BRK-0011,ผ้าเบรกหน้า,ระบบเบรก,320,520,460,20,ชุด,Toyota Hilux / Fortuner,FILE-IMPORT
BRK-0012,จานเบรกหน้า,ระบบเบรก,780,1250,1100,10,ชิ้น,Isuzu D-Max 2012-2019,FILE-IMPORT
BRK-0013,ผ้าเบรกหลัง,ระบบเบรก,280,460,400,20,ชุด,Toyota Vios / Yaris,FILE-IMPORT
BRK-0014,ปั๊มเบรกหลัก,ระบบเบรก,1500,2400,2100,5,ชิ้น,Toyota Hilux Revo,FILE-IMPORT
